id,questionnaire_id,question_name,field_name,question_label,page_id,question_type_id,options,button_image_url,sequence,active,created,modified
597,11,Interior Characteristics Total Baths,interior_number_baths,How many bathrooms?,297,1,,,0,1,8/18/2017 11:51,8/18/2017 11:51
598,11,Interior Characteristics Total Rooms,interior_number_rooms,How many rooms total?,297,1,,,0,1,8/18/2017 11:51,8/18/2017 11:51
599,11,Interior Characteristics Total Floors,interior_number_floors,How many floors total?,297,1,,,0,1,8/18/2017 11:51,8/18/2017 11:51
600,11,Interior Characteristics Basement,interior_basement,Is there a basement?,297,2,Yes;No,,0,1,8/18/2017 11:51,8/18/2017 11:51
601,11,Interior Characteristics Fireplace,interior_fireplace,Is there a fireplace?,297,2,Yes;No,,0,1,8/18/2017 11:51,8/18/2017 11:51
602,11,Interior Characteristics Comments,interior_additional_comments,Indicate any additional features of note:,297,1,,,0,1,8/18/2017 11:51,8/18/2017 11:51
603,11,Interior Master Bedroom Comments,interior_master_bedroom_comments,Master Bedroom Comments.  Optionally take a photo of the master bedroom.,298,1,,,2,1,8/18/2017 11:51,11/11/2019 7:26
604,11,Interior Master Bedroom Photo,interior_master_bedroom_photo,Take a photo of the master bedroom.,298,3,,btn_add_optional_photo.jpg,1,1,8/18/2017 11:51,11/11/2019 7:26
605,11,Interior Master Bathroom Comments,interior_master_bathroom_comments,Master Bathroom Comments. ,299,1,,,2,1,8/18/2017 11:51,11/11/2019 7:27
606,11,Interior Master Bathroom Photo,interior_master_bathroom_photo,Take a photo of the master bathroom:,299,3,,btn_add_optional_photo.jpg,1,1,8/18/2017 11:51,11/11/2019 7:27
607,11,Interior Main Living Area Comments,interior_main_living_area_comments,Main Living Area Comments:,300,1,,,2,1,8/18/2017 11:51,11/11/2019 7:28
608,11,Interior Main Living Area Photo,interior_main_living_area_photo,Take a photo of the main living area:,300,3,,btn_add_optional_photo.jpg,1,1,8/18/2017 11:51,11/11/2019 7:28
609,11,Interior Kitchen Comments,interior_kitchen_comments,Kitchen Comments:,301,1,,,2,1,8/18/2017 11:51,11/11/2019 7:28
610,11,Interior Kitchen Photo,interior_kitchen_photo,Take a photo of the kitchen:,301,3,,btn_add_optional_photo.jpg,1,1,8/18/2017 11:51,11/11/2019 7:28
611,11,Interior Other Features Comments,interior_other_features_comments,Additional Comments: ,302,1,,,2,1,8/18/2017 11:51,11/11/2019 7:29
612,11,Interior Other Features Photo,interior_other_features_photo,Optionally take a photo of the additional features:,302,3,,btn_add_optional_photo.jpg,1,1,8/18/2017 11:51,11/11/2019 7:29
613,11,Interior Overall Condition Comments,interior_overall_condition_comments,Overall Interior Condition:,303,2,"Excellent (fully updated, new paint);Good (kitchens and baths < 5 yrs old);Fair (kitchen or baths > 7 yrs old, flaking paint);Poor (repairs necessary, out of date)",,1,1,8/18/2017 11:51,11/7/2019 12:19
614,11,Interior Overall Condition Photo,interior_overall_condition_photo,Optionally take a photo.,303,3,,btn_add_optional_photo.jpg,2,1,8/18/2017 11:51,11/7/2019 12:19
615,11,Location Type,location_type,Select the property location type:,304,2,Urban (inner city);Suburban (outer city limits);Rural (farm or countryside),,1,1,8/18/2017 11:51,11/11/2019 7:01
616,11,Neighborhood Condition,neighborhood_condition,Please indicate the condition of the neighborhood:,305,2,Excellent (all properties in excellent condition);Good (all properties well maintained);Fair (properties with visible damage) ;Poor (mostly neglected properties),,1,1,8/18/2017 11:51,11/7/2019 11:52
617,11,Neighborhood Condition Comments,neighborhood_condition_comments,Additional Comments:,305,1,,,2,1,8/18/2017 11:51,11/7/2019 11:52
618,11,Other Properties for Sale,other_properties_for_sale,How many other properties are for sale on the same street as the subject property?,307,1,,,1,0,8/18/2017 11:51,1/15/2020 15:07
619,11,Other Properties for Sale Photo,other_properties_for_sale_image,Optionally take a photo,307,3,,btn_add_optional_photo.jpg,2,0,8/18/2017 11:51,1/15/2020 14:40
620,11,Railroad Tracks,railroad_tracks,Please indicate if there are any railroad tracks within 300 feet of the property?,315,2,Yes;No,,0,1,8/18/2017 11:51,8/18/2017 11:51
621,11,Railroad Tracks Photo,railroad_tracks_image,Optionally take a photo,315,3,,btn_add_photo.jpg,0,1,8/18/2017 11:51,8/18/2017 11:51
622,11,Airport/Flightpath,airport_flightpath,"Please indicate if there is an airport within 300 feet of the property, or the property is in a low flying plane flightpath?",316,2,Yes;No,,0,1,8/18/2017 11:51,8/18/2017 11:51
623,11,Airport/Flightpath Photo,airport_flightpath_image,Optionally take a photo,316,3,,btn_add_photo.jpg,0,1,8/18/2017 11:51,8/18/2017 11:51
624,12,Property Secured?,property_secured,Please indicate if the property is secured and hit continue.,318,2,Yes;No,,0,0,10/11/2017 17:51,10/11/2017 17:51
625,12,Property Secured Comments,property_secured_comments,"If no, please explain.  Optionally take a photo",318,1,,,0,0,10/11/2017 17:51,10/11/2017 17:51
626,12,Property Secured Photo,property_secured_image,,318,3,,btn_add_optional_photo.jpg,0,0,10/11/2017 17:51,10/11/2017 17:51
627,12,Conforms to Neighborhood,confirms_to_neighborhood,Please indicate if the subject property conforms to the neighborhood.,318,2,Yes;No,,0,0,10/11/2017 17:51,10/11/2017 17:51
628,12,Conforms to Neighborhood Comments,conforms_to_neighborhood_comments,If no please explain,318,1,,,0,0,10/11/2017 17:51,10/11/2017 17:51
629,12,Conforms to Neighborhood Photo,conforms_to_neighborhood_image,Optionally take a photo to explain,318,3,,btn_add_optional_photo.jpg,0,0,10/11/2017 17:51,10/11/2017 17:51
630,12,High Voltage Powerlines,high_voltage_powerlines,Please indicate if there are any high voltage overhead powerlines within 300 feet of the property?,318,2,Yes;No,,0,0,10/11/2017 17:51,10/11/2017 17:51
631,12,High Voltage Powerlines Photo,high_voltage_powerlines_image,Optionally take a photo,318,3,,btn_add_optional_photo.jpg,0,0,10/11/2017 17:51,10/11/2017 17:51
632,12,Boarded Up Homes,boarded_up_homes,Please indicate if there are any boarded up homes within 300 feet of the property?,318,2,Yes;No,,0,0,10/11/2017 17:51,10/11/2017 17:51
633,12,Boarded Up Homes Photo,boarded_up_homes_image,Optionally take a photo,318,3,,btn_add_photo.jpgbtn_add_optional_photo,0,0,10/11/2017 17:51,10/11/2017 17:51
634,12,Freeway or Highway,freeway_or_highway,Please indicate if there are any freeways or highways within 300 feet of the property?,318,2,Yes;No,,0,0,10/11/2017 17:51,10/11/2017 17:51
635,12,Freeway or Highway Photo,freeway_or_highway_image,Optionally take a photo,318,3,,btn_add_optional_photo.jpg,0,0,10/11/2017 17:51,10/11/2017 17:51
636,12,Parks/Recreation,parks_recreation,Please indicate if there are any parks or recreation features within 300 feet of the property?,318,2,Yes;No,,0,0,10/11/2017 17:51,10/11/2017 17:51
637,12,Parks/Recreation Photo,parks_recreation_image,Optionally take a photo,318,3,,btn_add_optional_photo.jpg,0,0,10/11/2017 17:51,10/11/2017 17:51
638,12,Waste Management Facilities,waste_management_facilities,Please indicate if there are any waste management facilities within 300 feet of the property?,318,2,Yes;No,,0,0,10/11/2017 17:51,10/11/2017 17:51
639,12,Waste Management Facilities Photo,waste_management_facilities_photo,Optionally take a photo,318,3,,btn_add_optional_photo.jpg,0,0,10/11/2017 17:51,10/11/2017 17:51
640,12,Commercial Buildings,commercial_buildings,Please indicate if there are any commercial buildings within 300 feet of the property?,318,2,Yes;No,,0,0,10/11/2017 17:51,10/11/2017 17:51
641,12,Commercial Buildings Photo,commercial_buildings_image,Optionally take a photo,318,3,,btn_add_optional_photo.jpg,0,0,10/11/2017 17:51,10/11/2017 17:51
642,12,Additional Neighborhood Comments,additional_neighborhood_comments,If you have any additional comments about the neighborhood please include them here.,318,1,,,0,0,10/11/2017 17:51,10/11/2017 17:51
643,12,Installation Photos,line1_install_photos,Take photos of the installation,319,3,,btn_add_photo.jpg,1,0,10/11/2017 17:51,11/26/2017 21:37
644,12,Street View from Street,street_view_from_street_image,,318,3,,btn_street_view.jpg,1,0,10/11/2017 17:51,12/6/2017 13:02
645,12,Install Complete,install_complete,Final report?,358,2,yes;no,,1,0,10/11/2017 17:51,12/6/2017 13:04
646,12,Product Type,line1_type,Product Type,319,6,#,,2,1,10/11/2017 17:51,12/20/2017 11:16
647,12,Street View from Front Door,street_view_from_front_door_image,,318,3,,btn_street_from_door.jpg,1,0,10/11/2017 17:51,12/6/2017 13:02
648,12,Property Address Verification,property_address_verification_image,,324,3,,btn_property_verification.jpg,1,1,10/11/2017 17:51,10/11/2017 17:51
649,12,Property Type,property_type,Please indicate the property type and hit continue,325,2,Commercial Non-Residential;Condominium;Cooperative;Manufactured Mobile Home;Mixed Use Residential;Multifamily More Than Four Units;Single Family;Townhouse;Two To Four Unit Property;Vacant Land,,1,1,10/11/2017 17:51,10/11/2017 17:51
650,12,Property Occupied?,property_occupied,Please indicate if the property is occupied and hit continue.,327,2,Yes;No,,0,1,10/11/2017 17:51,10/11/2017 17:51
651,12,Property Occupied Comments,property_occupied_comments,"If no, please explain.  Optionally take a photo",327,1,,,0,1,10/11/2017 17:51,10/11/2017 17:51
652,12,Property Occupied Photo,property_occupied_image,,327,3,,btn_add_optional_photo.jpg,0,1,10/11/2017 17:51,10/11/2017 17:51
653,12,Land Use Zoning,land_use_zoning,Please indicate the land use zoning and hit continue.,328,2,Residential;Commercial;Mixed Use;I do not know,,0,1,10/11/2017 17:51,10/11/2017 17:51
654,12,Number Garage Stalls,number_garage_stalls,Number of Stalls (Car Spaces),329,1,,,0,1,10/11/2017 17:51,10/11/2017 17:51
655,12,Stalls Attached,garage_stalls_attached,,329,2,Attached (connected to the main property);Detached (separate structure);Integral (part of the main property);Multiple Structures (please photo garages),,0,1,10/11/2017 17:51,10/11/2017 17:51
656,12,Garage Photo,garage_stalls_image,"If not clearly visible in the earlier property photos, please take a photo of the garage stalls.",329,3,,btn_add_optional_photo.jpg,0,1,10/11/2017 17:51,10/11/2017 17:51
657,12,Roof Condition,roof_condition,Please indicate the condition of the roof.,330,2,"Excellent (< 2 years old, no visible damage);Good (less than 5 years old);Average (more than 5 years old);Fair (some visible damage, missing shingles);Poor (> 15 years old or visible damage)",,0,1,10/11/2017 17:51,10/11/2017 17:51
658,12,Roof Condition Comments,roof_condition_comments,Additional Comments,330,1,,,0,1,10/11/2017 17:52,10/11/2017 17:52
659,12,Roof Condition Photo,roof_condition_image,Optionally take a photo of the roof,330,3,,btn_add_optional_photo.jpg,0,1,10/11/2017 17:52,10/11/2017 17:52
660,12,Siding Condition,siding_condition,Please indicate the condition of the siding.,331,2,"Excellent (paint < 2 yrs, no visible damage);Good (paint < 5 years, no visible damage);Fair (paint > 5 years ago, flaking visible);Poor (visible damage, flaking or missing paint)",,0,1,10/11/2017 17:52,10/11/2017 17:52
661,12,Siding Condition Comments,siding_condition_comments,Additional Comments,331,1,,,0,1,10/11/2017 17:52,10/11/2017 17:52
662,12,Siding Condition Photo,siding_condition_image,Optionally take a photo of the siding,331,3,,btn_add_optional_photo.jpg,0,1,10/11/2017 17:52,10/11/2017 17:52
663,12,Windows Condition,windows_condition,Please indicate the condition of the windows,332,2,"Excellent (< 2 years old, no visible damage);Good (< 5 years old, no visible damage);Fair (> 5 years, no broken or cracked glass);Poor (cracked glass, flaking paint)",,0,1,10/11/2017 17:52,10/11/2017 17:52
664,12,Windows Condition Comments,windows_condition_comments,Additional Comments,332,1,,,0,1,10/11/2017 17:52,10/11/2017 17:52
665,12,Windows Condition Photo,windows_condition_image,Optionally take a photo of the windows,332,3,,btn_add_optional_photo.jpg,0,1,10/11/2017 17:52,10/11/2017 17:52
666,12,Foundation Condition,foundation_condition,Please indicate the condition of the foundation,333,2,"Excellent (level, no visible damage);Good (no visible damage, < 3 inch deflection);Fair (> 3 inch deflection);Poor (visible damage or cracks);I don't know",,0,1,10/11/2017 17:52,10/11/2017 17:52
667,12,Foundation Condition Comments,foundation_condition_comments,Additional Comments,333,1,,,0,1,10/11/2017 17:52,10/11/2017 17:52
668,12,Foundation Condition Photo,foundation_condition_image,Optionally take a photo of the foundation,333,3,,btn_add_optional_photo.jpg,0,1,10/11/2017 17:52,10/11/2017 17:52
669,12,Landscape Condition,landscape_condition,Please indicate the condition of the landscape,334,2,"Excellent (well maintained plants and lawn);Good (healthy lawn, tidy appearance);Fair (untidy plants, patchy lawn);Poor (no visible signs of yard maintenance)",,0,1,10/11/2017 17:52,10/11/2017 17:52
670,12,Landscape Condition Comments,landscape_condition_comments,Additional Comments,334,1,,,0,1,10/11/2017 17:52,10/11/2017 17:52
671,12,Landscape Condition Photo,landscape_condition_image,Optionally take a photo of the landscape,334,3,,btn_add_optional_photo.jpg,0,1,10/11/2017 17:52,10/11/2017 17:52
672,12,Other Condition Comments,order_condition_comments,Please provide details of any additional damage or comments about the condition of the property:,335,1,,,0,1,10/11/2017 17:52,10/11/2017 17:52
673,12,Other Condition Photo,other_condition_image,Optionally take a photo to explain,335,3,,btn_add_optional_photo.jpg,0,1,10/11/2017 17:52,10/11/2017 17:52
674,12,Overall Condition,overall_condition,Please indicate the condition of the property,336,2,"Excellent (well maintained appearance);Good (no visible damage);Fair (some visible damage, or older features);Poor (visible damage, requires repairs)",,0,1,10/11/2017 17:52,10/11/2017 17:52
675,12,Overall Condition Comments,overall_condition_comments,Additional Comments,336,1,,,0,1,10/11/2017 17:52,10/11/2017 17:52
